Pong-v0,0.999,32,100000,50000,1.0,0.1,1000000,4,2500,0.0005
step,rew_mean,len_mean,episode_count
316000,-20.69,1104.4,1100
317000,-20.72,1100.85,1104
318000,-20.72,1101.19,1108
319000,-20.71,1102.56,1112
320000,-20.71,1104.59,1115
321000,-20.72,1104.05,1118
322000,-20.7,1105.45,1122
323000,-20.69,1105.5,1126
324000,-20.7,1103.43,1130
325000,-20.7,1104.09,1132
326000,-20.69,1104.96,1136
327000,-20.68,1111.03,1140
328000,-20.69,1111.41,1144
329000,-20.72,1107.21,1148
330000,-20.71,1107.01,1151
331000,-20.71,1106.78,1155
332000,-20.73,1105.67,1159
333000,-20.75,1103.34,1161
334000,-20.74,1103.48,1165
335000,-20.76,1102.55,1169
336000,-20.79,1099.12,1173
337000,-20.81,1102.27,1177
338000,-20.8,1100.49,1181
339000,-20.78,1103.58,1185
340000,-20.78,1101.97,1188
341000,-20.77,1102.7,1191
342000,-20.78,1102.02,1195
343000,-20.79,1097.94,1197
344000,-20.75,1103.26,1201
345000,-20.72,1106.93,1205
346000,-20.72,1104.42,1209
347000,-20.72,1103.16,1213
348000,-20.71,1101.45,1216
349000,-20.71,1102.57,1220
350000,-20.71,1101.84,1224
351000,-20.72,1102.0,1228
352000,-20.72,1102.67,1231
353000,-20.73,1100.35,1235
354000,-20.72,1100.6,1238
355000,-20.72,1099.05,1242
356000,-20.71,1101.33,1246
357000,-20.7,1103.46,1249
358000,-20.71,1106.52,1252
359000,-20.7,1110.68,1256
360000,-20.68,1111.19,1260
361000,-20.68,1106.44,1264
362000,-20.68,1106.34,1268
363000,-20.68,1103.29,1272
364000,-20.69,1093.6,1276
365000,-20.69,1094.32,1278
366000,-20.69,1093.98,1282
367000,-20.7,1093.34,1286
368000,-20.7,1094.68,1290
369000,-20.7,1093.47,1294
370000,-20.69,1092.69,1298
371000,-20.72,1089.3,1302
372000,-20.74,1088.4,1304
373000,-20.75,1088.13,1307
374000,-20.74,1090.47,1311
375000,-20.74,1089.26,1315
376000,-20.77,1083.92,1319
377000,-20.78,1082.83,1323
378000,-20.78,1081.76,1327
379000,-20.75,1084.98,1330
380000,-20.74,1086.5,1334
381000,-20.74,1082.61,1338
382000,-20.74,1081.04,1342
383000,-20.75,1079.83,1346
384000,-20.76,1080.34,1349
385000,-20.78,1074.23,1353
386000,-20.79,1072.73,1357
387000,-20.81,1074.94,1361
388000,-20.82,1077.31,1364
389000,-20.82,1077.43,1367
390000,-20.81,1079.38,1371
391000,-20.8,1081.51,1375
392000,-20.8,1081.91,1378
393000,-20.79,1083.3,1382
394000,-20.79,1083.06,1385
395000,-20.78,1086.49,1389
396000,-20.77,1087.73,1393
397000,-20.76,1089.65,1397
398000,-20.74,1093.74,1400
399000,-20.75,1091.97,1404
400000,-20.74,1090.35,1407
401000,-20.72,1092.64,1410
402000,-20.72,1094.46,1414
403000,-20.71,1098.53,1418
404000,-20.7,1101.09,1421
405000,-20.69,1102.89,1425
406000,-20.69,1103.83,1429
407000,-20.73,1099.87,1433
408000,-20.73,1104.02,1437
409000,-20.74,1102.73,1441
410000,-20.74,1103.71,1444
411000,-20.73,1101.08,1447
412000,-20.72,1101.36,1450
413000,-20.72,1102.3,1454
414000,-20.71,1105.12,1458
415000,-20.68,1105.98,1461
416000,-20.67,1110.26,1465
417000,-20.66,1111.42,1468
418000,-20.64,1117.25,1471
419000,-20.65,1117.61,1474
420000,-20.63,1121.14,1478
421000,-20.62,1121.29,1482
422000,-20.64,1119.22,1486
423000,-20.64,1116.77,1490
424000,-20.64,1115.92,1494
425000,-20.65,1113.53,1496
426000,-20.68,1109.43,1500
