Pong-v0,0.999,32,100000,50000,1.0,0.1,1000000,4,2500,5e-05
step,rew_mean,len_mean,episode_count
348000,-15.08,3168.49,742
349000,-15.08,3168.49,742
350000,-15.13,3150.21,744
351000,-15.13,3153.28,745
352000,-15.15,3162.2,746
353000,-15.23,3158.64,747
354000,-15.24,3168.33,749
355000,-15.24,3168.33,749
356000,-15.24,3179.57,750
357000,-15.21,3195.69,753
358000,-15.21,3195.69,753
359000,-15.16,3202.4,754
360000,-15.19,3197.04,755
361000,-15.01,3223.69,758
362000,-15.01,3223.69,758
363000,-15.0,3222.54,759
364000,-15.01,3225.76,760
365000,-15.03,3227.39,762
366000,-15.08,3221.94,763
367000,-15.08,3221.94,763
368000,-15.09,3232.61,766
369000,-15.09,3232.61,766
370000,-15.04,3249.99,767
371000,-15.05,3242.47,769
372000,-15.11,3230.7,770
373000,-15.11,3230.7,770
374000,-15.08,3247.49,773
375000,-15.07,3259.84,774
376000,-15.07,3259.84,774
377000,-15.07,3259.84,774
378000,-15.03,3275.15,778
379000,-15.03,3275.15,778
380000,-15.08,3269.89,779
381000,-15.12,3273.72,782
382000,-15.12,3273.72,782
383000,-15.12,3273.72,782
384000,-15.08,3294.3,785
385000,-15.11,3292.5,786
386000,-15.11,3292.5,786
387000,-15.07,3300.49,788
388000,-15.0,3308.48,790
389000,-15.0,3308.48,790
390000,-14.93,3300.65,793
391000,-14.91,3304.07,794
392000,-15.04,3272.64,796
393000,-15.06,3262.43,798
394000,-15.08,3259.98,799
395000,-15.15,3247.13,800
396000,-15.21,3242.36,802
397000,-15.21,3242.36,802
398000,-15.26,3237.59,804
399000,-15.19,3244.69,805
400000,-15.14,3256.11,806
401000,-15.11,3260.21,807
402000,-15.04,3266.79,809
403000,-15.05,3260.76,810
404000,-15.01,3262.65,811
405000,-15.01,3261.33,813
406000,-15.01,3261.33,813
407000,-14.97,3272.56,815
408000,-15.0,3271.09,816
409000,-14.97,3276.81,817
410000,-15.01,3277.38,818
411000,-15.01,3271.4,820
412000,-15.01,3274.37,821
413000,-15.08,3265.29,822
414000,-15.08,3265.29,822
415000,-15.01,3286.05,824
416000,-15.01,3286.57,825
417000,-14.99,3290.32,826
418000,-15.0,3286.01,827
419000,-15.0,3294.24,829
420000,-15.0,3294.24,829
421000,-14.97,3301.09,831
422000,-14.93,3301.92,832
423000,-14.93,3301.99,833
424000,-14.93,3301.99,833
425000,-14.95,3288.64,836
426000,-14.93,3296.24,837
427000,-14.93,3296.24,837
